,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
47,47,2002-05-16,2002.0,5.0,20.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.1404916078341044,0.8484285316218811,12.0,0.0,-0.0,5.0,8.0,0.0,-0.0,-0.0,0.0,11.0,7.0,6.0,7
48,48,2002-05-17,2002.0,5.0,20.0,17.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.1404916078341044,0.8484285316218813,10.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,-0.0,10.0,3.0,7.0,7
49,49,2002-05-18,2002.0,5.0,20.0,18.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.1404916078341044,0.8484285316218811,11.0,0.0,-0.0,6.0,8.0,0.0,-0.0,0.0,-0.0,9.0,5.0,8.0,7
50,50,2002-05-19,2002.0,5.0,20.0,19.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.1404916078341044,0.8484285316218811,11.0,-0.0,0.0,3.0,8.0,-0.0,0.0,0.0,0.0,16.0,4.0,6.0,7
49,49,2002-05-18,2002.0,5.0,20.0,18.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.1404916078341044,0.8484285316218811,11.0,0.0,-0.0,6.0,8.0,0.0,-0.0,0.0,-0.0,9.0,5.0,8.0,8
50,50,2002-05-19,2002.0,5.0,20.0,19.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.1404916078341044,0.8484285316218811,11.0,-0.0,0.0,3.0,8.0,-0.0,0.0,0.0,0.0,16.0,4.0,6.0,8
51,51,2002-05-20,2002.0,5.0,21.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,12.0,0.0,-0.0,5.0,7.0,-0.0,0.0,0.0,0.0,15.0,7.0,6.0,8
52,52,2002-05-21,2002.0,5.0,21.0,21.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,13.0,-0.0,-0.0,6.0,7.0,-0.0,0.0,0.0,-0.0,10.0,9.0,6.0,8
53,53,2002-05-22,2002.0,5.0,21.0,22.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,9.0,-0.0,-0.0,8.0,7.0,0.0,-0.0,-0.0,0.0,13.0,3.0,6.0,8
54,54,2002-05-23,2002.0,5.0,21.0,23.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,11.0,0.0,-0.0,12.0,8.0,0.0,0.0,-0.0,0.0,10.0,8.0,7.0,8
55,55,2002-05-24,2002.0,5.0,21.0,24.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,8.0,0.0,-0.0,10.0,7.0,-0.0,-0.0,-0.0,-0.0,10.0,6.0,8.0,8
56,56,2002-05-25,2002.0,5.0,21.0,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,11.0,-0.0,-0.0,10.0,6.0,-0.0,-0.0,0.0,0.0,7.0,8.0,6.0,8
57,57,2002-05-26,2002.0,5.0,21.0,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,9.0,-0.0,0.0,10.0,6.0,-0.0,0.0,-0.0,-0.0,10.0,6.0,7.0,8
56,56,2002-05-25,2002.0,5.0,21.0,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,11.0,-0.0,-0.0,10.0,6.0,-0.0,-0.0,0.0,0.0,7.0,8.0,6.0,9
57,57,2002-05-26,2002.0,5.0,21.0,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,9.0,-0.0,0.0,10.0,6.0,-0.0,0.0,-0.0,-0.0,10.0,6.0,7.0,9
58,58,2002-05-27,2002.0,5.0,22.0,27.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.06866035299699264,0.7543772725357004,10.0,0.0,0.0,10.0,8.0,-0.0,-0.0,-0.0,-0.0,17.0,7.0,7.0,9
59,59,2002-05-28,2002.0,5.0,22.0,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.06866035299699264,0.7543772725357004,11.0,-0.0,-0.0,10.0,6.0,-0.0,-0.0,0.0,-0.0,17.0,7.0,7.0,9
60,60,2002-05-29,2002.0,5.0,22.0,29.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.06866035299699264,0.7543772725357004,14.0,0.0,-0.0,10.0,4.0,-0.0,-0.0,0.0,-0.0,13.0,7.0,6.0,9
61,61,2002-05-30,2002.0,5.0,22.0,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.06866035299699264,0.7543772725357004,12.0,0.0,-0.0,10.0,6.0,-0.0,-0.0,-0.0,0.0,11.0,7.0,6.0,9
62,62,2002-05-31,2002.0,5.0,22.0,31.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.06866035299699264,0.7543772725357004,7.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,13.0,6.0,7.0,9
63,63,2003-05-01,2003.0,5.0,18.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.2324142677977913,0.9229837607760186,10.0,-0.0,-0.0,10.0,6.0,-0.0,0.0,-0.0,0.0,16.0,6.0,8.0,10
64,64,2003-05-02,2003.0,5.0,18.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.2324142677977913,0.9229837607760186,13.0,0.0,0.0,10.0,4.0,-0.0,-0.0,-0.0,-0.0,11.0,8.0,6.0,10
65,65,2003-05-03,2003.0,5.0,18.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.2324142677977913,0.9229837607760186,10.0,-0.0,-0.0,10.0,4.0,-0.0,-0.0,-0.0,-0.0,15.0,10.0,6.0,10
66,66,2003-05-04,2003.0,5.0,18.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.2324142677977913,0.9229837607760186,13.0,0.0,0.0,10.0,5.0,-0.0,-0.0,0.0,0.0,13.0,8.0,7.0,10
65,65,2003-05-03,2003.0,5.0,18.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.2324142677977913,0.9229837607760186,10.0,-0.0,-0.0,10.0,4.0,-0.0,-0.0,-0.0,-0.0,15.0,10.0,6.0,11
