,datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,Temp
173,2000-07-06,Haze,0.6504065040650407,0.0,0.0,0.32118055555555564,0.1554726368159205,0.0,0.0,39.166666666666664,0.0,0.0,0.0625,0.14234234234234236,2000.0,7.0,27.0,6.0,12.5,0.0,0.0,1.0,0.0,10.0
174,2000-07-07,Haze,0.6382113821138212,0.0,0.0,0.4097222222222223,0.16791044776119435,0.0,0.0,34.333333333333336,0.0,0.0,0.05277777777777778,0.3504504504504505,2000.0,7.0,27.0,7.0,12.5,0.0,0.0,1.0,0.0,9.0
175,2000-07-08,Haze,0.6219512195121951,0.0,0.0,0.44791666666666674,0.16169154228855742,0.0,0.0,32.166666666666664,0.0,0.0,0.05277777777777778,0.43378378378378374,2000.0,7.0,27.0,8.0,12.5,0.0,0.0,1.0,0.0,8.0
176,2000-07-09,Haze,0.6544715447154472,0.0,0.0,0.4131944444444445,0.14676616915422924,0.0,0.0,34.833333333333336,0.0,0.0,0.049999999999999996,0.25090090090090095,2000.0,7.0,27.0,9.0,12.5,0.0,0.0,1.0,0.0,9.0
177,2000-07-10,Haze,0.6243902439024391,0.0,0.0,0.38333333333333336,0.14776119402985105,0.0,0.0,34.8,0.0,0.0,0.06166666666666667,0.25027027027027027,2000.0,7.0,28.0,10.0,12.0,0.0,0.0,1.0,0.0,9.0
178,2000-07-11,Haze,0.6146341463414635,0.0,0.0,0.5145833333333334,0.16268656716417934,0.0,0.0,29.6,0.0,0.0,0.05500000000000001,0.2805405405405405,2000.0,7.0,28.0,11.0,13.0,0.0,0.0,1.0,0.0,7.0
180,2000-07-12,Haze,0.6422764227642277,0.0,0.0,0.515625,0.17039800995024912,0.0,0.0,30.833333333333332,0.0,0.0,0.06388888888888888,0.21711711711711715,2000.0,7.0,28.0,12.0,12.5,0.0,0.0,1.0,0.0,7.0
181,2000-07-13,Haze,0.6292682926829269,0.0,0.0,0.4875,0.16268656716417934,0.0,0.0,31.2,0.0,0.0,0.07999999999999999,0.40054054054054056,2000.0,7.0,28.0,13.0,13.0,0.0,0.0,1.0,0.0,8.0
183,2000-07-14,Haze,0.6000000000000001,0.0,0.0,0.47291666666666676,0.16119402985074646,0.0,0.0,30.4,0.0,0.0,0.056999999999999995,0.35027027027027025,2000.0,7.0,28.0,14.0,12.4,0.0,0.0,1.0,0.0,7.0
185,2000-07-15,Haze,0.6016260162601627,0.0,0.0,0.42534722222222227,0.1542288557213931,0.0,0.0,32.333333333333336,0.0,0.0,0.044444444444444446,0.209009009009009,2000.0,7.0,28.0,15.0,12.5,0.0,0.0,1.0,0.0,8.0
186,2000-07-16,Drizzle,0.6829268292682927,0.0,0.0,0.6458333333333335,0.1716417910447765,0.0,0.0,29.0,0.0,0.0,0.03333333333333333,0.1,2000.0,7.0,28.0,16.0,15.0,0.0,0.0,1.0,0.0,7.0
190,2000-07-17,Drizzle,0.6097560975609757,0.0,0.0,0.5312500000000001,0.14925373134328357,0.0,0.0,29.0,0.0,0.0,0.03333333333333333,0.2513513513513514,2000.0,7.0,29.0,17.0,11.0,0.0,0.0,1.0,0.0,7.0
194,2000-07-18,Haze,0.6260162601626017,0.0,0.0,0.48090277777777785,0.15174129353233834,0.0,0.0,31.333333333333332,0.0,0.0,0.042777777777777776,0.309009009009009,2000.0,7.0,29.0,18.0,12.5,0.0,0.0,1.0,0.0,8.0
195,2000-07-19,Haze,0.7235772357723577,0.0,0.0,0.6302083333333335,0.1629353233830848,0.0,0.0,31.5,0.0,0.0,0.05277777777777778,0.07522522522522522,2000.0,7.0,29.0,19.0,12.5,0.0,0.0,1.0,0.0,8.0
